SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,LATITUDE,LONGITUDE
PAST SALE,October-7-2019,Condo/Co-op,2011 N Highway 17 Unit 1500-G,Mount Pleasant,SC,29466,135000,1,1,The Meridian,740,,1993,363,182,256,Sold,http://www.redfin.com/SC/Mt-Pleasant/2011-N-Hwy-17-29466/unit-1500G/home/108082386,Charleston Trident MLS,19017200,32.8342818,-79.8219704
PAST SALE,October-4-2019,Condo/Co-op,2011 N Highway 17 Unit 1800c,Mount Pleasant,SC,29466,116000,1,1,The Meridian,740,,1993,366,157,256,Sold,http://www.redfin.com/SC/Mt-Pleasant/2011-N-Hwy-17-29466/unit-1800C/home/108187026,Charleston Trident MLS,19018007,32.8342818,-79.8219704
PAST SALE,July-15-2020,Condo/Co-op,2011 N Highway 17 Unit 1100 T,Mount Pleasant,SC,29466,135000,1,1,The Meridian,740,,1993,81,182,256,Sold,http://www.redfin.com/SC/Mt-Pleasant/2011-N-Hwy-17-29466/unit-1100T/home/108050569,Charleston Trident MLS,20015375,32.8342818,-79.8219704
PAST SALE,March-8-2019,Condo/Co-op,2011 N Highway 17 Unit 1100s,Mount Pleasant,SC,29466,147000,1,1,The Meridian,740,,1993,576,199,250,Sold,http://www.redfin.com/SC/Mt-Pleasant/2011-N-Hwy-17-29466/unit-1100S/home/108096776,Charleston Trident MLS,18031267,32.8342818,-79.8219704
PAST SALE,April-30-2019,Condo/Co-op,2011 N Highway 17 Unit 1300g,Mount Pleasant,SC,29466,131800,1,1,The Meridian,740,,1993,523,178,256,Sold,http://www.redfin.com/SC/Mt-Pleasant/2011-N-Hwy-17-29466/unit-1300G/home/108170826,Charleston Trident MLS,19008325,32.8342818,-79.8219704
PAST SALE,,Condo/Co-op,1300 W Park Blvd #904,Mt Pleasant,SC,29466,148000,1,1,,704,,2000,,210,,,http://www.redfin.com/SC/Mt-Pleasant/1300-W-Park-Blvd-29466/unit-904/home/68684165,,,32.8799355,-79.7804604
PAST SALE,May-13-2019,Condo/Co-op,1300 Park West Blvd #1019,Mount Pleasant,SC,29466,152645,1,1,Park West,704,,2000,510,217,201,Sold,http://www.redfin.com/SC/Mt-Pleasant/1300-W-Park-Blvd-29466/unit-1019/home/108080796,Charleston Trident MLS,19010176,32.8799355,-79.7804604
PAST SALE,August-21-2020,Condo/Co-op,1300 Park West Blvd #1010,Mount Pleasant,SC,29466,180000,1,1,Park West,704,,2000,44,256,230,Sold,http://www.redfin.com/SC/Mt-Pleasant/1300-W-Park-Blvd-29466/unit-1010/home/68813196,Charleston Trident MLS,20018622,32.8799355,-79.7804604
PAST SALE,July-23-2020,Condo/Co-op,1300 Park West Blvd #1008,Mount Pleasant,SC,29466,158000,1,1,Park West,707,,2000,73,223,225,Sold,http://www.redfin.com/SC/Mt-Pleasant/1300-W-Park-Blvd-29466/unit-1008/home/102795533,Charleston Trident MLS,20006099,32.8799355,-79.7804604
PAST SALE,July-14-2020,Condo/Co-op,2011 N Highway 17 Unit 1600p,Mount Pleasant,SC,29466,120000,1,1,The Meridian,740,,1993,82,162,256,Sold,http://www.redfin.com/SC/Mt-Pleasant/2011-N-Hwy-17-29466/unit-1600P/home/108078879,Charleston Trident MLS,20014556,32.8342818,-79.8219704
PAST SALE,August-28-2020,Condo/Co-op,1201 Basildon Rd,Mount Pleasant,SC,29466,143000,1,1,Park West,662,,2006,37,216,207,Sold,http://www.redfin.com/SC/Mt-Pleasant/1201-Basildon-Rd-29466/unit-1201/home/68663176,Charleston Trident MLS,20020504,32.8934726,-79.7995703
PAST SALE,July-15-2019,Condo/Co-op,1300 Park West Blvd #201,Mount Pleasant,SC,29466,132500,1,1,Park West,704,,2000,447,188,206,Sold,http://www.redfin.com/SC/Mt-Pleasant/1300-W-Park-Blvd-29466/unit-201/home/68907074,Charleston Trident MLS,19010567,32.8800332,-79.7802877
PAST SALE,November-5-2019,Condo/Co-op,1300 Park West Blvd #918,Mount Pleasant,SC,29466,162500,1,1,Park West,704,,2000,334,231,,Sold,http://www.redfin.com/SC/Mt-Pleasant/1300-W-Park-Blvd-29466/unit-918/home/108083363,Charleston Trident MLS,18029957,32.8799355,-79.7804604
PAST SALE,,Condo/Co-op,623 Legends Club Dr,Mt Pleasant,SC,29466,140000,1,1,,743,,2000,,188,,,http://www.redfin.com/SC/Mt-Pleasant/623-Legends-Club-Dr-29466/home/108186250,,,32.875628,-79.767669
PAST SALE,September-13-2019,Condo/Co-op,1300 Park West Blvd #218,Mount Pleasant,SC,29466,149900,1,1,Park West,704,,2000,387,213,206,Sold,http://www.redfin.com/SC/Mt-Pleasant/1300-W-Park-Blvd-29466/unit-218/home/108126447,Charleston Trident MLS,19020180,32.8800332,-79.7802877
PAST SALE,December-20-2019,Condo/Co-op,1300 Park West Blvd #519,Mount Pleasant,SC,29466,136000,1,1,Park West,704,,2000,289,193,206,Sold,http://www.redfin.com/SC/Mt-Pleasant/1300-W-Park-Blvd-29466/unit-519/home/108039351,Charleston Trident MLS,19025052,32.8799355,-79.7804604
PAST SALE,,Condo/Co-op,1300 W Park Blvd #1002,Mt Pleasant,SC,29466,138000,1,1,,704,,2000,,196,,,http://www.redfin.com/SC/Mt-Pleasant/1300-W-Park-Blvd-29466/unit-1002/home/108140567,,,32.8799355,-79.7804604
PAST SALE,,Condo/Co-op,2011 N Hwy 17 Unit 1400J,Mt Pleasant,SC,29466,134500,1,1,,591,,1993,,228,,,http://www.redfin.com/SC/Mt-Pleasant/2011-N-Hwy-17-29466/unit-1400J/home/108131081,,,32.8342818,-79.8219704
PAST SALE,June-28-2019,Condo/Co-op,2011 N Highway 17 Unit 1100d,Mount Pleasant,SC,29466,155423,1,1,The Meridian,740,,1993,464,210,266,Sold,http://www.redfin.com/SC/Mt-Pleasant/2011-N-Hwy-17-29466/unit-1100D/home/108186750,Charleston Trident MLS,19011368,32.8342818,-79.8219704
PAST SALE,,Condo/Co-op,716 Legends Club Dr,Mt Pleasant,SC,29466,146000,1,1,,658,,2000,,222,,,http://www.redfin.com/SC/Mt-Pleasant/716-Legends-Club-Dr-29466/home/108169918,,,32.876035,-79.767112
PAST SALE,September-2-2020,Condo/Co-op,1601 Basildon Rd,Mount Pleasant,SC,29466,162000,1,1,Park West,662,,2006,32,245,208,Sold,http://www.redfin.com/SC/Mount-Pleasant/1601-Basildon-RD-29464/home/171632722,Charleston Trident MLS,20001418,32.8234848,-79.8520818
PAST SALE,June-16-2020,Condo/Co-op,1501 Ben Sawyer Blvd #1521,Mount Pleasant,SC,29464,145000,1,1,Marsh Grass Condominiums,670,,1975,110,216,285,Sold,http://www.redfin.com/SC/Mt-Pleasant/1501-Ben-Sawyer-Blvd-29464/unit-1521/home/108039511,Charleston Trident MLS,20006572,32.7897761,-79.8525026
PAST SALE,,Condo/Co-op,2011 N Hwy 17 Unit 1500C,Mt Pleasant,SC,29466,154000,1,1,,740,,1993,,208,,,http://www.redfin.com/SC/Mt-Pleasant/2011-N-Hwy-17-29466/unit-1500C/home/68660737,,,32.8342818,-79.8219704
PAST SALE,September-4-2020,Condo/Co-op,1300 Park West Blvd #1013,Mount Pleasant,SC,29466,160000,1,1,Park West,704,,2000,30,227,212,Sold,http://www.redfin.com/SC/Mt-Pleasant/1300-W-Park-Blvd-29466/unit-1013/home/68908528,Charleston Trident MLS,20005943,32.8799355,-79.7804604
PAST SALE,February-27-2019,Condo/Co-op,1300 Park West Blvd #1015,Mount Pleasant,SC,29466,142000,1,1,Park West,704,435,2000,585,202,250,Sold,http://www.redfin.com/SC/Mt-Pleasant/1300-W-Park-Blvd-29466/unit-1015/home/105201329,Charleston Trident MLS,19001374,32.8799355,-79.7804604
PAST SALE,August-5-2019,Condo/Co-op,1600 Long Grove Dr #822,Mount Pleasant,SC,29464,147000,1,1,Seaside Farms,786,,1999,426,187,197,Sold,http://www.redfin.com/SC/Mt-Pleasant/1600-Long-Grove-Dr-29464/unit-822/home/68814052,Charleston Trident MLS,19010910,32.818582,-79.8132249
PAST SALE,June-24-2019,Condo/Co-op,1713 Chatelain Way,Mount Pleasant,SC,29464,183500,1,1,Southampton Pointe,767,,1999,468,239,257,Sold,http://www.redfin.com/SC/Mt-Pleasant/1713-Chatelain-Way-29464/unit-1713/home/68598467,Charleston Trident MLS,19013686,32.8231202,-79.844903
PAST SALE,November-15-2019,Condo/Co-op,1114 Rosewood Ln Ln,Mount Pleasant,SC,29464,198000,1,1,Southampton Pointe,767,,1999,324,258,305,Sold,http://www.redfin.com/SC/Mt-Pleasant/1114-Rosewood-Ln-29464/unit-1114/home/68697840,Charleston Trident MLS,19027588,32.822599,-79.8463264
PAST SALE,February-14-2019,Condo/Co-op,1932 Chatelain Way,Mount Pleasant,SC,29464,187500,1,1,Southampton Pointe,866,,1999,598,217,265,Sold,http://www.redfin.com/SC/Mt-Pleasant/1932-Chatelain-Way-29464/unit-1932/home/68598465,Charleston Trident MLS,19001018,32.8232096,-79.8450525
PAST SALE,,Townhouse,1049 Provincial Cir Unit B,Mt Pleasant,SC,29464,182500,1,1,,828,1250,1987,,220,,,http://www.redfin.com/SC/Mt-Pleasant/1049-Provincial-Cir-29464/unit-B/home/108109621,,,32.798084,-79.888283
PAST SALE,,Condo/Co-op,1600 Long Grove Dr #1718,Mt Pleasant,SC,29464,153000,1,1,,786,,1999,,195,,,http://www.redfin.com/SC/Mt-Pleasant/1600-Long-Grove-Dr-29464/unit-1718/home/108042199,,,32.818582,-79.8132249
PAST SALE,March-17-2020,Condo/Co-op,1300 Park Blvd W #302,Mount Pleasant,SC,29466,141500,1,1,Park West,777,,2000,201,182,231,Sold,http://www.redfin.com/SC/Mt-Pleasant/1300-W-Park-Blvd-29466/unit-302/home/102795517,Charleston Trident MLS,20002853,32.8799355,-79.7804604
PAST SALE,March-29-2019,Condo/Co-op,1300 Park Blvd W #710,Mount Pleasant,SC,29466,137500,1,1,Park West,777,,2000,555,177,225,Sold,http://www.redfin.com/SC/Mt-Pleasant/1300-W-Park-Blvd-29466/unit-710/home/108171752,Charleston Trident MLS,19004040,32.8799355,-79.7804604
PAST SALE,,Condo/Co-op,1016 Basildon Rd #1016,Mt Pleasant,SC,29466,160000,1,1,,844,,2006,,190,,,http://www.redfin.com/SC/Mt-Pleasant/1016-Basildon-Rd-29466/unit-1016/home/68903223,,,32.8934716,-79.7980088
PAST SALE,November-5-2018,Condo/Co-op,1600 Long Grove Dr #1012,Mount Pleasant,SC,29464,139500,1,1,Long Grove,786,,1999,699,177,197,Sold,http://www.redfin.com/SC/Mt-Pleasant/1600-Long-Grove-Dr-29464/unit-1012/home/108078825,Charleston Trident MLS,18015750,32.818582,-79.8132249
PAST SALE,,Condo/Co-op,278 Alexandra Dr #8,Mt Pleasant,SC,29464,181000,1,1,,825,,1986,,219,,,http://www.redfin.com/SC/Mt-Pleasant/278-Alexandra-Dr-29464/unit-8/home/68869065,,,32.8052994,-79.894999
