lin1,ZestYear 2015,ZestPrice 2015,ZestYear 2016,ZestPrice 2016,ZestYear 2017,ZestPrice 2017,ZestYear 2018,ZestPrice 2018,ZestYear 2019,ZestPrice 2019,ZestYear 2020,ZestPrice 2020
https://www.zillow.com/homedetails/1722-Latroy-Ave-Mount-Pleasant-SC-29464/88998517_zpid/,,,,,,,,,,,,
https://www.zillow.com/homedetails/1954-Sandy-Point-Ln-Mount-Pleasant-SC-29466/10938706_zpid/,2015,3200,Jan 2016,2200,Jan 2017,2400,Dec 2017,2600,Jan 2019,2300,Feb 2020,2200
https://www.zillow.com/homedetails/212-Haddrell-St-Mount-Pleasant-SC-29464/10922911_zpid/,2015,1800,Jan 2016,2200,Jan 2017,2300,Dec 2017,2400,Jan 2019,3000,Feb 2020,2900
https://www.zillow.com/homedetails/2483-River-Bluff-Ln-Mount-Pleasant-SC-29466/68356011_zpid/,2015,1900,Jan 2016,2100,Jan 2017,2200,Dec 2017,2300,Jan 2019,1900,Feb 2020,2000
https://www.zillow.com/homedetails/1444-Madison-Ct-Mount-Pleasant-SC-29466/10937780_zpid/,2015,1800,Jan 2016,1800,Jan 2017,2200,Dec 2017,2300,Jan 2019,2000,Feb 2020,2200
https://www.zillow.com/homedetails/201-Ban-St-Mount-Pleasant-SC-29464/10924372_zpid/,2015,,,,,,,,,,,
https://www.zillow.com/homedetails/285-S-Plaza-Ct-PENTHOUSE-10-Mount-Pleasant-SC-29464/2078391281_zpid/,2015,,,,,,,,,,,
https://www.zillow.com/homedetails/4440-Wando-Farms-Rd-Mount-Pleasant-SC-29429/122199145_zpid/,2015,,,,,,,,,,,
https://www.zillow.com/homedetails/1986-Sandy-Point-Ln-Mount-Pleasant-SC-29466/92383730_zpid/,2015,4500,Jan 2016,2700,Jan 2017,2900,Dec 2017,3600,Jan 2019,3300,Feb 2020,3200
https://www.zillow.com/homedetails/2744-Rush-Haven-Dr-Mount-Pleasant-SC-29466/110234400_zpid/,2015,2000,Jan 2016,1900,Jun 2017,1900,Jul 2018,3100,Jul 2019,2800,Listed for,2800
https://www.zillow.com/homedetails/47-Robert-Mills-Cir-Mount-Pleasant-SC-29464/99370678_zpid/,2015,1300,Oct 2015,1900,Oct 2016,2400,Sep 2017,2400,Sep 2018,2500,Sep 2019,2600
