absolute, link, Address, Latitude, Longitude, Price, #Bed, #Bath, Square Foot, Year Built, date1, price1, date2, price2, date3, price3, date4, price4, date5, price5, date6, price6, date7, price7, link1, ZestYear 2015, ZestPrice 2015 , ZestYear 2016, ZestPrice 2016, ZestYear 2017, ZestPrice 2017, ZestYear 2018, ZestPrice 2018, ZestYear 2019, ZestPrice 2019, ZestYear 2020, ZestPrice 2020
1,https://www.zillow.com/homedetails/1722-Latroy-Ave-Mount-Pleasant-SC-29464/88998517_zpid/,1722 Latroy Ave Mount Pleasant SC 29464,32.850703499999995,-79.8407256,8900000.0,3.0,2.0,1900.0,1963,6/26/2020,8900000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://www.zillow.com/homedetails/1722-Latroy-Ave-Mount-Pleasant-SC-29464/88998517_zpid/,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,https://www.zillow.com/homedetails/1954-Sandy-Point-Ln-Mount-Pleasant-SC-29466/10938706_zpid/,1954 Sandy Point Ln Mount Pleasant SC 29466,32.8913327,-79.83981490000001,4500000.0,6.0,8.0,7199.0,2000,7/25/2020,4500000.0,9/26/2017,184000.0,10/6/2015,4000000.0,5/8/2015,4000000.0,4/15/2014,3900000.0,2/13/2014,3900000.0,8/31/2013,3999999.0,https://www.zillow.com/homedetails/1954-Sandy-Point-Ln-Mount-Pleasant-SC-29466/10938706_zpid/,2015,3200.0,Jan 2016,2200.0,Jan 2017,2400.0,Dec 2017,2600.0,Jan 2019,2300,Feb 2020,2200.0
3,https://www.zillow.com/homedetails/212-Haddrell-St-Mount-Pleasant-SC-29464/10922911_zpid/,212 Haddrell St Mount Pleasant SC 29464,32.7898952,-79.8840745,3950000.0,4.0,4.0,4262.0,2000,6/5/2020,3950000.0,5/9/2014,190000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://www.zillow.com/homedetails/212-Haddrell-St-Mount-Pleasant-SC-29464/10922911_zpid/,2015,1800.0,Jan 2016,2200.0,Jan 2017,2300.0,Dec 2017,2400.0,Jan 2019,3000,Feb 2020,2900.0
4,https://www.zillow.com/homedetails/2483-River-Bluff-Ln-Mount-Pleasant-SC-29466/68356011_zpid/,2483 River Bluff Ln Mount Pleasant SC 29466,32.8958273,-79.83847159999999,3900000.0,5.0,6.0,6810.0,2003,8/5/2020,3900000.0,4/3/2013,1740000.0,3/11/2008,2650000.0,1/19/2008,2650000.0,2/24/2003,1275000.0,2/14/2000,300000.0,nan,nan,https://www.zillow.com/homedetails/2483-River-Bluff-Ln-Mount-Pleasant-SC-29466/68356011_zpid/,2015,1900.0,Jan 2016,2100.0,Jan 2017,2200.0,Dec 2017,2300.0,Jan 2019,1900,Feb 2020,2000.0
5,https://www.zillow.com/homedetails/1444-Madison-Ct-Mount-Pleasant-SC-29466/10937780_zpid/,1444 Madison Ct Mount Pleasant SC 29466,32.8658293,-79.819125,3750000.0,6.0,6.0,7828.0,1995,5/20/2020,3750000.0,9/22/2011,1475000.0,9/14/2010,1799000.0,2/17/2010,1799000.0,8/1/2006,2400000.0,nan,nan,nan,nan,https://www.zillow.com/homedetails/1444-Madison-Ct-Mount-Pleasant-SC-29466/10937780_zpid/,2015,1800.0,Jan 2016,1800.0,Jan 2017,2200.0,Dec 2017,2300.0,Jan 2019,2000,Feb 2020,2200.0
6,https://www.zillow.com/homedetails/201-Ban-St-Mount-Pleasant-SC-29464/10924372_zpid/,201 Ban St Mount Pleasant SC 29464,32.783837,-79.8743305,3650000.0,6.0,5.0,3791.0,1969,9/2/2020,3650000.0,8/20/2019,3950000.0,5/14/2019,4500000.0,6/29/2018,5250000.0,nan,nan,nan,nan,nan,nan,https://www.zillow.com/homedetails/201-Ban-St-Mount-Pleasant-SC-29464/10924372_zpid/,2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,https://www.zillow.com/homedetails/285-S-Plaza-Ct-PENTHOUSE-10-Mount-Pleasant-SC-29464/2078391281_zpid/,285 S Plaza Ct PENTHOUSE 10 Mount Pleasant SC 29464,32.797369,-79.903699,3500000.0,3.0,4.0,4046.0,2002,8/14/2020,3500000.0,8/5/2020,3500000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://www.zillow.com/homedetails/285-S-Plaza-Ct-PENTHOUSE-10-Mount-Pleasant-SC-29464/2078391281_zpid/,2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,https://www.zillow.com/homedetails/4440-Wando-Farms-Rd-Mount-Pleasant-SC-29429/122199145_zpid/,4440 Wando Farms Rd Mount Pleasant SC 29429,32.916884,-79.724954,3450000.0,5.0,6.0,5885.0,2011,8/20/2020,3450000.0,6/13/2020,3650000.0,3/22/2020,3800000.0,2/2/2019,3900000.0,11/28/2005,1575000.0,nan,nan,nan,nan,https://www.zillow.com/homedetails/4440-Wando-Farms-Rd-Mount-Pleasant-SC-29429/122199145_zpid/,2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,https://www.zillow.com/homedetails/1986-Sandy-Point-Ln-Mount-Pleasant-SC-29466/92383730_zpid/,1986 Sandy Point Ln Mount Pleasant SC 29466,32.8935531,-79.8383892,3447000.0,5.0,8.0,7832.0,2008,4/21/2020,3447000.0,2/12/2020,3300000.0,2/28/2019,3300000.0,7/27/2018,3500000.0,10/7/2017,3800000.0,4/12/2017,4200000.0,3/3/2015,5000000.0,https://www.zillow.com/homedetails/1986-Sandy-Point-Ln-Mount-Pleasant-SC-29466/92383730_zpid/,2015,4500.0,Jan 2016,2700.0,Jan 2017,2900.0,Dec 2017,3600.0,Jan 2019,3300,Feb 2020,3200.0
10,https://www.zillow.com/homedetails/2744-Rush-Haven-Dr-Mount-Pleasant-SC-29466/110234400_zpid/,2744 Rush Haven Dr Mount Pleasant SC 29466,32.9209204,-79.81501,3000000.0,6.0,7.0,7673.0,2015,8/27/2020,3000000.0,3/24/2020,2999900.0,2/13/2019,2999900.0,6/19/2018,3200000.0,6/28/2012,415000.0,3/15/2012,489950.0,1/20/2012,489950.0,https://www.zillow.com/homedetails/2744-Rush-Haven-Dr-Mount-Pleasant-SC-29466/110234400_zpid/,2015,2000.0,Jan 2016,1900.0,Jun 2017,1900.0,Jul 2018,3100.0,Jul 2019,2800,Listed for,2800.0
11,https://www.zillow.com/homedetails/47-Robert-Mills-Cir-Mount-Pleasant-SC-29464/99370678_zpid/,47 Robert Mills Cir Mount Pleasant SC 29464,32.822036499999996,-79.8827735,2995000.0,6.0,8.0,8007.0,2014,5/25/2020,2995000.0,4/16/2020,2999000.0,1/21/2019,7500.0,11/20/2018,7500.0,2/6/2018,1100000.0,1/4/2011,330000.0,3/31/2006,540000.0,https://www.zillow.com/homedetails/47-Robert-Mills-Cir-Mount-Pleasant-SC-29464/99370678_zpid/,2015,1300.0,Oct 2015,1900.0,Oct 2016,2400.0,Sep 2017,2400.0,Sep 2018,2500,Sep 2019,2600.0
12,https://www.zillow.com/homedetails/136-Wando-Reach-Ct-Mount-Pleasant-SC-29464/80216372_zpid/,136 Wando Reach Ct Mount Pleasant SC 29464,32.8157027,-79.9030906,2745000.0,5.0,6.0,6529.0,2005,7/18/2020,2745000.0,3/17/2020,2945000.0,10/2/2019,3000000.0,9/17/2019,3000000.0,12/21/2011,2290000.0,10/15/2011,2499000.0,4/3/2011,2499000.0,https://www.zillow.com/homedetails/136-Wando-Reach-Ct-Mount-Pleasant-SC-29464/80216372_zpid/,2015,2600.0,2016,3300.0,2017,2900.0,2018,3100.0,2019,2900,2020,2800.0
13,https://www.zillow.com/homedetails/178-Hobcaw-Dr-Mount-Pleasant-SC-29464/10921029_zpid/,178 Hobcaw Dr Mount Pleasant SC 29464,32.8215635,-79.8976233,2650000.0,5.0,4.0,3270.0,1965,7/15/2020,2650000.0,1/18/2020,2775000.0,9/20/2019,2900000.0,5/16/2019,3000000.0,2/26/2019,3000000.0,nan,nan,nan,nan,https://www.zillow.com/homedetails/178-Hobcaw-Dr-Mount-Pleasant-SC-29464/10921029_zpid/,2015,1200.0,Jan 2016,1900.0,Jan 2017,1700.0,Dec 2017,1700.0,Jan 2019,1700,Feb 2020,2600.0
14,https://www.zillow.com/homedetails/124-Wando-Reach-Ct-Mount-Pleasant-SC-29464/88980197_zpid/,124 Wando Reach Ct Mount Pleasant SC 29464,32.8155576,-79.9020843,2595000.0,4.0,5.0,5364.0,2007,7/7/2020,2595000.0,10/15/2019,2750000.0,4/18/2019,2995000.0,4/18/2007,2600000.0,4/25/2005,575000.0,nan,nan,nan,nan,https://www.zillow.com/homedetails/124-Wando-Reach-Ct-Mount-Pleasant-SC-29464/88980197_zpid/,2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
