Name,Address,Latitude,Longitude
Starbucks,"1824 N Hwy 17, Mt Pleasant, SC 29464, United States",32.8297583,-79.8343271
Starbucks,"2195 Tea Planter Ln, Mt Pleasant, SC 29466, United States",32.8395453,-79.8168915
Starbucks,"1300 Long Grove Dr, Mt Pleasant, SC 29464, United States",32.8240812,-79.8186757
Starbucks,"636-A Long Point Rd, Mt Pleasant, SC 29464, United States",32.8403196,-79.8562812
Starbucks,"730 Coleman Blvd, Mt Pleasant, SC 29464, United States",32.7932325,-79.8683587
Starbucks,"953 Houston Northcutt Blvd, Mt Pleasant, SC 29464, United States",32.8002107,-79.8900784
Starbucks,"2035 SC-41, Mt Pleasant, SC 29466, United States",32.8978112,-79.8217077
Saveurs du Monde Café Belle Station,"536 Belle Station Blvd, Mt Pleasant, SC 29464, United States",32.8430094,-79.8549893
Tidal Grounds Coffee,"1039 SC-41 #200, Mt Pleasant, SC 29466, United States",32.8595712,-79.7966521
Metto Coffee & Tea,"354 W Coleman Blvd, Mt Pleasant, SC 29464, United States",32.7967997,-79.8864115
BROWN FOX COFFEE,"307 Simmons St, Mt Pleasant, SC 29464, United States",32.7904343,-79.8741363
Vintage Coffee Cafe,"219 Simmons St, Mt Pleasant, SC 29464, United States",32.7913051,-79.875069
Pitte's Coffee,"1440 Ben Sawyer Blvd Suite 1300, Mt Pleasant, SC 29464, United States",32.7932141,-79.853132
Cooper River Coffee Roasters,"1303 Ben Sawyer Blvd #5, Mt Pleasant, SC 29464, United States",32.7937105,-79.8586892
River Watch Cafe & Gift Shop,"2240 Arthur Ravenel Jr Bridge, Mt Pleasant, SC 29464, United States",32.8019442,-79.9049522
Second State Coffee,"766 S Shelmore Blvd Ste 202, Mt Pleasant, SC 29464, United States",32.8106045,-79.8784233
WFM Coffee Bar,"923 Houston Northcutt Blvd, Mt Pleasant, SC 29464, United States",32.8023194,-79.8889193
Joey Bag A Donuts,"1118 Park W Blvd, Mt Pleasant, SC 29466, United States",32.8746493,-79.7778789
Saveurs du Monde Café Belle Station,"536 Belle Station Blvd, Mt Pleasant, SC 29464, United States",32.8430094,-79.8549893
Tasi Bites and Blends,"1948 Long Grove Dr #5, Mt Pleasant, SC 29464, United States",32.822684,-79.8182495
Sena cafe,"2170 Snyder Cir #117, Mt Pleasant, SC 29466, United States",32.8384891,-79.8158418
Saveurs Du Monde Café Seaside Farm,"1960 Long Grove Dr, Mt Pleasant, SC 29464, United States",32.821588,-79.817184
Sunrise Bistro Mount Pleasant,"1039 Johnnie Dodds Blvd #12, Mt Pleasant, SC 29464, United States",32.8106733,-79.8646265
Circle K,"685 Johnnie Dodds Blvd, Mt Pleasant, SC 29464, United States",32.8076546,-79.8786177
Circle K,"1195 Mathis Ferry Rd, Mt Pleasant, SC 29464, United States",32.8178665,-79.8612707
Circle K,"199 W Coleman Blvd, Mt Pleasant, SC 29464, United States",32.7974316,-79.8974921
Clean Eatz,"1455 Stuart Engals Blvd, Mt Pleasant, SC 29464, United States",32.813259,-79.8478152
Another Broken Egg Cafe,"608 Long Point Rd Unit A Unit A, Mt Pleasant, SC 29464, United States",32.8393809,-79.8582831
Barnes & Noble,"Towne Centre, 1716 Towne Centre Way, Mt Pleasant, SC 29464, United States",32.83,-79.8288889
Kudzu Bakery Mt Pleasant,"1100 Bowman Rd #100, Mt Pleasant, SC 29464, United States",32.8118052,-79.8537884
