Name,Address,Latitude,Longitude
Mcdonalds,1533 Johnnie Dodds Blvd,32.8125819,-79.8549043
Mcdonalds,3060 Ironclad Alley,32.8645249,-79.7859659
TacoBell,"821 Coleman Blvd, Mt Pleasant, SC 29464",32.7932909,-79.8650554
TacobBell,"1096 Isle of Palms Connector, Mt Pleasant, SC 29464",32.8295257,-79.824243
TacoBell,"3325 S Morgans Point Rd, Mt Pleasant, SC 29466",32.8711282,-79.775271
Pizza Hut,"3002 South Morgan's Point Dr, Mt Pleasant, SC 29466",32.8614059,-79.7867034
Wendys,"361 N Hwy 17, Mt Pleasant, SC 29464",32.8684707,-79.7812988
Wendys,"935 Chuck Dawley Blvd, Mt Pleasant, SC 29464",32.7952471,-79.8606489
Wendys,"596 Long Point Rd, Mt Pleasant, SC 29464",32.8402923,-79.8589105
Dominos Pizza,"1117 Park W Blvd Ste B, Mt Pleasant, SC 29466",32.8740824,-79.7784045
Dominos Pizza,"1039 N Hwy 17 # 5, Mt Pleasant, SC 29464",32.8106843,-79.8644722
Dunkin,"840 Coleman Blvd, Mt Pleasant, SC 29464",32.7942666,-79.8644912
Dunkin,"1683 N Hwy 17, Mt Pleasant, SC 29464,",32.8228855,-79.8393907
Subway,"1533 N Hwy 17, Mt Pleasant, SC 29464",32.8182312,-79.8438109
Subway,"528 Belle Station Blvd, Mt Pleasant, SC 29464",32.8429342,-79.8549414
Subway,"4020 Bessemer Rd, Mt Pleasant, SC 29466",32.8785722,-79.8070859
Chick Fill A,"1024 Johnnie Dodds Blvd, Mt Pleasant, SC 29464",32.8121053,-79.8660398
Chick FIll A,"653 Long Point Rd, Mt Pleasant, SC 29464",32.8419927,-79.8560638
Chick Fil A,"3102 Ironclad Alley, Mt Pleasant, SC 29466",32.865683,-79.7841196
Chipotle,"1509 N Hwy 17, Mt Pleasant, SC 29464",32.8171901,-79.8449488
Five Guys,"1795 US Highway 17 North, Mt Pleasant, SC 29464,",32.8283824,-79.8347629
