Name,Address,Latitude,Longitude
Harris Teeter,"Village Pointe, 920 Houston Northcutt Blvd, Mt Pleasant, SC 29464",32.8020233,-79.8917187
Aldi,"613 Johnnie Dodds Blvd, Mt Pleasant, SC 29464",32.8063901,-79.8817705
Harris Teeter,"1220 Ben Sawyer Blvd Sea Island Shopping Center, Mt Pleasant, SC 29464",32.7955847,-79.8600409
Publix Super Market at North Point,"1435 Ben Sawyer Blvd, Mt Pleasant, SC 29464",32.7916428,-79.8542561
La Superior,"1035 Johnnie Dodds Blvd, Mt Pleasant, SC 29464",32.810494,-79.8654829
Publix Super Market at Queensborough Shopping Center,"1000 Johnnie Dodds Blvd #106, Mt Pleasant, SC 29464",32.8136977,-79.8679212
Walmart Super Center,"1481 N Hwy 17, Mt Pleasant, SC 29464",32.8140601,-79.8456052
OPIE Drive-Thru Grocery,"1735 N Hwy 17, Mt Pleasant, SC 29464",32.8254591,-79.8375307
GreenWise Market at Indigo Square,"1720 Shoremeade Rd, Mt Pleasant, SC 29464",32.8301767,-79.8364527
Harris Teeter,"620 Long Point Rd, Mt Pleasant, SC 29464",32.8395765,-79.8565228
Harris Teeter,"Seaside Farms, 1981 Riviera Dr, Mt Pleasant, SC 29464",32.8204353,-79.8154091
Target Grocery,"1300 Long Grove Dr, Mt Pleasant, SC 29464",32.8240812,-79.8186757
Harris Teeter,"Six Mile Marketplace, 2195 Tea Planters Ln, Mt Pleasant, SC 29466",32.8395453,-79.8168915
Walmart Super Center,"3000 Proprietors Pl, Mt Pleasant, SC 29466",32.8614775,-79.7885519
Publix Super Market at The Shoppes of Park West,"1125 Park W Blvd, Mt Pleasant, SC 29466",32.8741144,-79.7793242
Lowes Foods of Mount Pleasant,"2110 SC-41, Mt Pleasant, SC 29466",32.9055438,-79.823608
Harris Teeter,"2035 Hwy 41, Rivertowne Pkwy, Mt Pleasant, SC 29466",32.8978119,-79.8217087
