lin,Address,Latitude,Longitude,Price,#Bed,#Bath,Square Foot,Year Built,date1,price1,date2,price2,date3,price3,date4,price4,date5,price5,date6,price6,date7,price7,absolute
https://www.zillow.com/homedetails/1722-Latroy-Ave-Mount-Pleasant-SC-29464/88998517_zpid/,1722 Latroy Ave Mount Pleasant SC 29464,32.8507035,-79.8407256,8900000,3,2,1900,1963,6/26/2020,8900000,,,,,,,,,,,,,1
https://www.zillow.com/homedetails/1954-Sandy-Point-Ln-Mount-Pleasant-SC-29466/10938706_zpid/,1954 Sandy Point Ln Mount Pleasant SC 29466,32.8913327,-79.8398149,4500000,6,8,7199,2000,7/25/2020,4500000,9/26/2017,184000,10/6/2015,4000000,5/8/2015,4000000,4/15/2014,3900000,2/13/2014,3900000,8/31/2013,3999999,2
https://www.zillow.com/homedetails/212-Haddrell-St-Mount-Pleasant-SC-29464/10922911_zpid/,212 Haddrell St Mount Pleasant SC 29464,32.7898952,-79.8840745,3950000,4,4,4262,2000,6/5/2020,3950000,5/9/2014,190000,,,,,,,,,,,3
https://www.zillow.com/homedetails/2483-River-Bluff-Ln-Mount-Pleasant-SC-29466/68356011_zpid/,2483 River Bluff Ln Mount Pleasant SC 29466,32.8958273,-79.8384716,3900000,5,6,6810,2003,8/5/2020,3900000,4/3/2013,1740000,3/11/2008,2650000,1/19/2008,2650000,2/24/2003,1275000,2/14/2000,300000,,,4
https://www.zillow.com/homedetails/1444-Madison-Ct-Mount-Pleasant-SC-29466/10937780_zpid/,1444 Madison Ct Mount Pleasant SC 29466,32.8658293,-79.819125,3750000,6,6,7828,1995,5/20/2020,3750000,9/22/2011,1475000,9/14/2010,1799000,2/17/2010,1799000,8/1/2006,2400000,,,,,5
https://www.zillow.com/homedetails/201-Ban-St-Mount-Pleasant-SC-29464/10924372_zpid/,201 Ban St Mount Pleasant SC 29464,32.783837,-79.8743305,3650000,6,5,3791,1969,9/2/2020,3650000,8/20/2019,3950000,5/14/2019,4500000,6/29/2018,5250000,,,,,,,6
https://www.zillow.com/homedetails/285-S-Plaza-Ct-PENTHOUSE-10-Mount-Pleasant-SC-29464/2078391281_zpid/,285 S Plaza Ct PENTHOUSE 10 Mount Pleasant SC 29464,32.797369,-79.903699,3500000,3,4,4046,2002,8/14/2020,3500000,8/5/2020,3500000,,,,,,,,,,,7
https://www.zillow.com/homedetails/4440-Wando-Farms-Rd-Mount-Pleasant-SC-29429/122199145_zpid/,4440 Wando Farms Rd Mount Pleasant SC 29429,32.916884,-79.724954,3450000,5,6,5885,2011,8/20/2020,3450000,6/13/2020,3650000,3/22/2020,3800000,2/2/2019,3900000,11/28/2005,1575000,,,,,8
https://www.zillow.com/homedetails/1986-Sandy-Point-Ln-Mount-Pleasant-SC-29466/92383730_zpid/,1986 Sandy Point Ln Mount Pleasant SC 29466,32.8935531,-79.8383892,3447000,5,8,7832,2008,4/21/2020,3447000,2/12/2020,3300000,2/28/2019,3300000,7/27/2018,3500000,10/7/2017,3800000,4/12/2017,4200000,3/3/2015,5000000,9
https://www.zillow.com/homedetails/2744-Rush-Haven-Dr-Mount-Pleasant-SC-29466/110234400_zpid/,2744 Rush Haven Dr Mount Pleasant SC 29466,32.9209204,-79.81501,3000000,6,7,7673,2015,8/27/2020,3000000,3/24/2020,2999900,2/13/2019,2999900,6/19/2018,3200000,6/28/2012,415000,3/15/2012,489950,1/20/2012,489950,10
https://www.zillow.com/homedetails/47-Robert-Mills-Cir-Mount-Pleasant-SC-29464/99370678_zpid/,47 Robert Mills Cir Mount Pleasant SC 29464,32.8220365,-79.8827735,2995000,6,8,8007,2014,5/25/2020,2995000,4/16/2020,2999000,1/21/2019,7500,11/20/2018,7500,2/6/2018,1100000,1/4/2011,330000,3/31/2006,540000,11
https://www.zillow.com/homedetails/136-Wando-Reach-Ct-Mount-Pleasant-SC-29464/80216372_zpid/,136 Wando Reach Ct Mount Pleasant SC 29464,32.8157027,-79.9030906,2745000,5,6,6529,2005,7/18/2020,2745000,3/17/2020,2945000,10/2/2019,3000000,9/17/2019,3000000,12/21/2011,2290000,10/15/2011,2499000,4/3/2011,2499000,12
https://www.zillow.com/homedetails/178-Hobcaw-Dr-Mount-Pleasant-SC-29464/10921029_zpid/,178 Hobcaw Dr Mount Pleasant SC 29464,32.8215635,-79.8976233,2650000,5,4,3270,1965,7/15/2020,2650000,1/18/2020,2775000,9/20/2019,2900000,5/16/2019,3000000,2/26/2019,3000000,,,,,13
https://www.zillow.com/homedetails/124-Wando-Reach-Ct-Mount-Pleasant-SC-29464/88980197_zpid/,124 Wando Reach Ct Mount Pleasant SC 29464,32.8155576,-79.9020843,2595000,4,5,5364,2007,7/7/2020,2595000,10/15/2019,2750000,4/18/2019,2995000,4/18/2007,2600000,4/25/2005,575000,,,,,14
https://www.zillow.com/homedetails/814-Pitt-St-Mount-Pleasant-SC-29464/10925201_zpid/,814 Pitt St Mount Pleasant SC 29464,32.7799251,-79.867927,2495000,4,4,3714,1955,7/18/2020,2495000,6/28/2020,2595000,5/5/2020,2650000,2/24/2012,573000,10/15/2011,615000,9/4/2011,645000,8/3/2011,675000,15
https://www.zillow.com/homedetails/202-Bennett-St-Mount-Pleasant-SC-29464/10923928_zpid/,202 Bennett St Mount Pleasant SC 29464,32.788533,-79.8789677,2395000,4,4,3270,1915,8/14/2020,2395000,7/1/2020,2500000,3/1/2013,1250000,10/1/2012,1395000,5/21/2012,1450000,12/2/2004,1300000,,,16
https://www.zillow.com/homedetails/409-Church-St-Mount-Pleasant-SC-29464/10923930_zpid/,409 Church St Mount Pleasant SC 29464,32.7886907,-79.878224,2290000,4,4,4274,1847,7/16/2020,2290000,10/24/2019,2390000,12/18/2018,2500000,10/4/2018,2500000,8/1/2014,1595000,4/28/2013,1750000,10/27/2012,1750000,17
https://www.zillow.com/homedetails/1950-Sandy-Point-Ln-Mount-Pleasant-SC-29466/10938707_zpid/,1950 Sandy Point Ln Mount Pleasant SC 29466,32.891251,-79.8389968,2200000,6,4,4746,2000,9/4/2020,2200000,3/31/2015,1075000,1/10/2014,830000,6/15/2013,900000,4/22/2013,900000,6/20/2012,1250000,4/11/2012,1250000,18
https://www.zillow.com/homedetails/202-Pitt-St-Mount-Pleasant-SC-29464/10923907_zpid/,202 Pitt St Mount Pleasant SC 29464,32.7863312,-79.8752273,2149000,4,5,4434,1892,7/29/2020,2149000,1/15/2020,2150000,9/4/2019,1999000,4/25/2019,1999000,3/19/2019,2150000,2/28/2019,2300000,1/12/2019,2499000,19
https://www.zillow.com/homedetails/821-Bridgetown-Pass-Mount-Pleasant-SC-29464/92386355_zpid/,821 Bridgetown Pass Mount Pleasant SC 29464,32.8534279,-79.8681146,2050000,6,6,5300,2008,7/24/2020,2050000,7/9/2020,1995000,10/3/2007,284000,,,,,,,,,20
https://www.zillow.com/homedetails/2978-River-Vista-Way-Mount-Pleasant-SC-29466/110225632_zpid/,2978 River Vista Way Mount Pleasant SC 29466,32.9224998,-79.8005404,1999000,4,5,5006,2013,7/20/2020,1999000,9/26/2007,739000,,,,,,,,,,,21
https://www.zillow.com/homedetails/221-Queen-St-Mount-Pleasant-SC-29464/10924390_zpid/,221 Queen St Mount Pleasant SC 29464,32.7831098,-79.8723618,1995000,3,4,2985,1992,7/6/2020,1995000,6/30/2017,1650000,6/8/2017,1775000,2/15/2017,1775000,12/11/2015,1000000,11/29/2015,1260000,8/19/2015,1260000,22
https://www.zillow.com/homedetails/85-5th-Ave-Mount-Pleasant-SC-29464/10921278_zpid/,85 5th Ave Mount Pleasant SC 29464,32.8123375,-79.904599,1995000,3,3,2376,1991,2/9/2020,1995000,,,,,,,,,,,,,23
https://www.zillow.com/homedetails/3944-Ashton-Shore-Ln-Mount-Pleasant-SC-29466/110211592_zpid/,3944 Ashton Shore Ln Mount Pleasant SC 29466,32.923549,-79.782883,1940000,4,6,4748,No Data,8/28/2020,1940000,8/11/2020,1850000,7/26/2019,684000,8/28/2018,684000,3/3/2018,684000,2/21/2018,684000,8/23/2017,684000,24
https://www.zillow.com/homedetails/948-Pitt-St-Mount-Pleasant-SC-29464/68018691_zpid/,948 Pitt St Mount Pleasant SC 29464,32.7772186,-79.8648367,1900000,3,3,3112,2003,5/16/2020,1900000,5/7/2014,1295000,5/2/2014,1325000,3/15/2014,1325000,2/19/2013,1500000,2/7/2013,1500000,5/23/2006,1450000,25
https://www.zillow.com/homedetails/1416-Jacson-St-Mount-Pleasant-SC-29464/2081730249_zpid/,1416 Jacson St Mount Pleasant SC 29464,32.7852398,-79.8653156,1897000,5,5,3506,2020,6/4/2020,1897000,2/20/2020,1595000,12/16/2019,1595000,,,,,,,,,26
https://www.zillow.com/homedetails/23-Grace-Ln-Mount-Pleasant-SC-29464/55640678_zpid/,23 Grace Ln Mount Pleasant SC 29464,32.8151422,-79.8754898,1895000,5,7,6355,2002,7/31/2020,1895000,5/27/2020,1895000,5/20/2020,1895000,4/22/2020,1895000,3/17/2020,1895000,10/10/2019,1895000,2/6/2019,1895000,27
https://www.zillow.com/homedetails/2081-Shell-Ring-Cir-Mount-Pleasant-SC-29466/110208240_zpid/,2081 Shell Ring Cir Mount Pleasant SC 29466,32.907266,-79.793209,1890000,5,6,5401,2020,4/13/2020,1890000,7/20/2018,428000,5/14/2018,465000,1/24/2018,465000,12/2/1999,175000,,,,,28
https://www.zillow.com/homedetails/191-Harbour-Watch-Way-Mount-Pleasant-SC-29464/10921724_zpid/,191 Harbour Watch Way Mount Pleasant SC 29464,32.8084695,-79.8993946,1880000,3,3,2860,1999,9/4/2020,1880000,3/14/2016,910000,1/17/2016,920000,1/12/2016,920000,,,,,,,29
https://www.zillow.com/homedetails/424-Greenwich-St-Mount-Pleasant-SC-29464/10924479_zpid/,178 N Shelmore Blvd Mount Pleasant SC 29464,32.818934,-79.8800176,1875000,5,6,5000,2004,7/15/2020,1875000,3/23/2020,1945000,3/6/2020,1945000,10/23/2019,1945000,3/1/2011,1015000,7/3/2008,2279000,6/19/2008,2279000,30
https://www.zillow.com/homedetails/178-N-Shelmore-Blvd-Mount-Pleasant-SC-29464/68394237_zpid/,424 Greenwich St Mount Pleasant SC 29464,32.7856235,-79.8694743,1875000,4,4,3959,2000,8/18/2020,1875000,7/1/2020,1950000,2/6/2020,2085000,12/5/2019,2195000,11/19/2019,2195000,8/14/2019,2345000,7/17/2019,2495000,31
https://www.zillow.com/homedetails/801-Pitt-St-Mount-Pleasant-SC-29464/10925184_zpid/,801 Pitt St Mount Pleasant SC 29464,32.779936,-79.868654,1795000,4,4,3051,2017,6/10/2020,1795000,8/14/2015,500000,4/18/2011,350000,11/5/2010,150000,11/4/2010,450000,3/13/2007,689000,1/11/2007,456000,32
https://www.zillow.com/homedetails/175-E-Shipyard-Rd-Mount-Pleasant-SC-29464/52905322_zpid/,175 E Shipyard Rd Mount Pleasant SC 29464,32.8186798,-79.8758179,1759000,4,4,3417,1999,4/28/2020,1759000,6/27/2018,1150000,6/26/2018,1245000,5/18/2018,1245000,4/2/2018,1245000,2/2/2018,1295000,2/1/2005,950000,33
https://www.zillow.com/homedetails/179-E-Shipyard-Rd-Mount-Pleasant-SC-29464/52905323_zpid/,179 E Shipyard Rd Mount Pleasant SC 29464,32.8188729,-79.8755117,1750000,5,6,4900,2001,8/27/2020,1750000,2/15/2020,1849000,12/18/2019,1885000,9/28/2019,1885000,7/23/2019,1895000,5/15/2019,1925000,11/26/2018,1975000,34
https://www.zillow.com/homedetails/174-N-Shelmore-Blvd-Mount-Pleasant-SC-29464/110213564_zpid/,174 N Shelmore Blvd Mount Pleasant SC 29464,32.8190956,-79.8801269,1699900,4,8,6228,2012,7/26/2020,1699900,7/6/2020,1699900,6/20/2020,1699900,11/23/2019,1770000,8/28/2019,1995000,12/31/2008,188000,8/19/2005,230000,35
https://www.zillow.com/homedetails/129-Ponsbury-Rd-Mount-Pleasant-SC-29464/55640731_zpid/,129 Ponsbury Rd Mount Pleasant SC 29464,32.8178057,-79.8768679,1699000,5,6,4554,2002,8/20/2020,1699000,6/6/2017,1699500,3/4/2017,1699500,7/8/2016,1835000,6/27/2014,1350000,2/6/2013,1499000,10/24/2012,1499000,36
https://www.zillow.com/homedetails/4923-Sound-View-Dr-Mount-Pleasant-SC-29466/80211791_zpid/,4923 Sound View Dr Mount Pleasant SC 29466,32.8529012,-79.7667541,1695000,4,4,4146,2005,6/4/2019,1695000,,,,,,,,,,,,,37
https://www.zillow.com/homedetails/801-Harbour-Watch-Ct-Mount-Pleasant-SC-29464/88989825_zpid/,801 Harbour Watch Ct Mount Pleasant SC 29464,32.8093509,-79.9021936,1670000,5,5,3877,2007,7/17/2020,1670000,5/1/2020,1775000,9/13/2000,115000,,,,,,,,,38
